HotelBrandID,HotelBrandName
2592,Aqua Palms & Spa - WWTE
2593,Aqua Waikiki Wave - WWTE
2594,Maile Sky Court - WWTE
2595,The Gateway Hotels
2596,HRH Group
2597,Menzies Hotels
2598,Le Blanc Spa Resort - WWTE
2599,JW Marriott
2600,Marriott Breakfast for 2 Promotion - PMI
2601,Marriott Courtyard Promo - PMI
2602,Velas Vallarta Suites - WWTE
2603,Casa Velas Hotel Boutique & Beach Club - WWTE
2605,Elegant Hotels
2606,Hyatt Place/Hyatt Summerfield Suites - PMI
2607,Hard Rock Hotel & Casino Punta Cana - WWTE
2608,Home2 Suites by Hilton
2609,Choice Charlotte Promo - PMI
2610,Choice Dallas Promo - PMI
2611,Choice Durham Promo - PMI
2612,Choice Ft Worth Promo - PMI
2613,Choice Nashville Promo - PMI
2614,Choice New York Promo - PMI
2615,Choice Newark Promo - PMI
2616,Choice Oakland Promo - PMI
2617,Choice Phoenix Promo - PMI
2618,Choice Raleigh Promo - PMI
2619,Choice San Francisco Promo - PMI
2620,Choice San Jose Promo - PMI
2621,Choice Promo - PMI
2622,San Diego City Properties - PMI
2623,Sarova Hotels
2624,Paradores
2625,TRH Hoteles
2626,Hilton Worldwide - PMI
2627,RIU Hotel & Resorts - WWTE
2628,APA Hotels
2629,Daiwa Roynet Hotels
2630,Choice Promo December - PMI
2631,Travel Portland TMD hotels - PMI
2632,Hilton Americas Promo - PMI
2634,Caesars Entertainment
2635,Choice Q1 Promo - PMI
2636,First Hotels
2637,Macdonald Hotels
2638,Coral Cay - WWTE
2639,Hawthorne Suites Lake Buena Vista - WWTE
2640,Hawthorn Suites Universal Orlando - WWTE
2641,Lake Buena Vista Resort - WWTE
2642,Hawaiian Inn - WWTE
2643,Palisades Resort - WWTE
2644,Enclave Hotel - WWTE
2645,Ventanas Hotel & Residences - WWTE
2646,Affinia
2647,W Retreat & Spa - WWTE
2648,Red Fox Hotels
2649,CS Hotels
2650,Magnuson Hotels
2651,Choice Value Add-PMI
2652,Adina
2653,Breakfree
2654,Citigate
2655,Mantra
2656,Medina
2657,Peppers
2658,Quay Grand
2659,Quay West
2660,Sea Temple
2661,Sebel
2662,Travelodge Australia
2663,Vibe
2664,Bluegreen Vacations
2665,Marriott Select Service - PMI
2666,Oaks
2667,Meriton
2668,Mirvac
2669,Starwood EAME - PMI
2670,Motel 168
2671,ChoiceGasCard - PMI
2672,Starwood Canada Day Sale - PMI
2673,Village Hotels
2674,Rocco Forte
2675,Tune Hotels
2676,Abba Hotels
2677,JW/MHR Summer Promo 2011 - PMI
2678,All Choice - PMI
2679,Larkspur Landing
2680,SANA Hotels
2681,Rotana 
2682,Marriott ALL- PMI
2683,Antipodes
2684,Bluegreen Resorts
2685,Walt Disney Hawaii
2686,W Q4 2011
2687,Adagio Access
2688,Six Senses Resorts & Spas
2689,Anantara
2690,Soneva
2691,Fraser
2692,Balladins
2693,Inter-Hotel
2694,Budgetel
2695,3 Palms
2696,Machefert Hotels Collection
2697,Relais de Paris 
2698,Wynn Resorts
2699,Marque
2700,Rendezvous
2701,Actahotels
2702,Real Hotels Portugal
2703,Macia Hoteles
2704,Ibis Styles
2705,Fuerte Hotels
2706,Hoteles M.A.
2707,Brit Hotels
2708,Disney Hong Kong
2709,Phoenicia Hotels & Resorts
2710,Sterling Resorts
2711,Relais & Chateaux
2712,Bartell Hotels
2713,Formule 1
2714,Pousadas de Portugal
2715,Group Multiband Europe - PMI
2716,Group Multiband US - PMI
2717,Station Casinos
2718,Boyd Gaming
2719,Inturjoven
2720,HYATT house
2721,Magic Costa Blanca
2722,Servigroup
2723,Hoteles RH
2724,"Aspen Hotels, Buenes Aires"
2725,Othon Palace
2726,GrandStay
2727,Jetwing Hotels
2728,Don Juan Hotels
2729,San Diego TMD North - PMI
2730,KTDC Hotels & Resort
2731,Royal Hotels
2732,Grupo Brisas
2733,Bliston Hotels
2734,Sea Hotels
2735,Cerise
2736,The Smith Pub Group
2737,Guitart Hotels 
2738,Angsana
2739,Les Collectionneurs
2740,Hoteles Estelar 
2741,Esprit de France
2742,Cialcotel
2743,Leopold Hotels
2744,Meininger
2745,Danat Hotels & Resorts
2746,Dema Hotels
2747,City Garden Hotel Group
2748,Nobile Hoteis
2749,Atlantica Hotels
2750,Go Inn
